,Year,Industry,Opened Licenses
74,2022,Ticket Seller,142
75,2022,Horse Drawn Driver,10
76,2021,Electronic & Appliance Service,100
77,2021,Auctioneer,12
78,2021,Special Sale,3
79,2021,Laundries,113
80,2021,Amusement Device Temporary,20
81,2021,Auction House Premises,4
82,2021,Garage,108
83,2021,Debt Collection Agency,18
84,2021,Amusement Device Permanent,10
85,2021,Bingo Game Operator,1
86,2021,Electronic Cigarette Dealer,127
87,2021,General Vendor,64
88,2021,Pedicab Driver,52
89,2021,Parking Lot,12
90,2021,Garage and Parking Lot,6
91,2021,Pedicab Business,1
92,2021,Electronics Store,228
93,2021,Newsstand,14
94,2021,Scale Dealer Repairer,1
95,2021,Locksmith,49
96,2021,Tow Truck Driver,114
97,2021,Process Serving Agency,4
98,2021,Secondhand Dealer - General,297
99,2021,Amusement Arcade,4
100,2021,Home Improvement Contractor,683
101,2021,Process Server Individual,44
102,2021,Secondhand Dealer - Auto,30
103,2021,Ticket Seller Business,1
104,2021,Car Wash,11
105,2021,Employment Agency,21
106,2021,Stoop Line Stand,144
107,2021,Ticket Seller,57
108,2021,Dealer In Products,95
109,2021,Pawnbroker,23
110,2021,Storage Warehouse,1
111,2021,Tobacco Retail Dealer,271
112,2021,Games of Chance,1
113,2021,Scrap Metal Processor,3
114,2021,Amusement Device Portable,35
115,2021,Horse Drawn Cab Owner,3
116,2021,Sightseeing Guide,67
117,2021,Tow Truck Company,8
118,2021,Horse Drawn Driver,3
119,2020,Ticket Seller,42
120,2020,Tow Truck Company,8
121,2020,Horse Drawn Driver,1
122,2020,Process Serving Agency,5
123,2020,Car Wash,12
124,2020,Amusement Arcade,1
125,2020,Tobacco Retail Dealer,153
126,2020,Laundries,174
127,2020,Horse Drawn Cab Owner,1
128,2020,Process Server Individual,42
129,2020,Electronics Store,232
130,2020,Tow Truck Driver,72
131,2020,Electronic Cigarette Dealer,60
132,2020,Games of Chance,2
133,2020,Debt Collection Agency,11
134,2020,Amusement Device Permanent,2
135,2020,Garage,79
136,2020,Dealer In Products,72
137,2020,Home Improvement Salesperson,201
138,2020,Scrap Metal Processor,2
139,2020,Scale Dealer Repairer,1
140,2020,Special Sale,12
141,2020,Stoop Line Stand,144
142,2020,Parking Lot,15
143,2020,Storage Warehouse,3
144,2020,Locksmith,29
145,2020,Pedicab Driver,26
146,2020,Sidewalk Cafe,41
147,2020,Newsstand,13
148,2020,General Vendor,30
149,2020,Auctioneer,5
150,2020,Garage and Parking Lot,17
151,2020,Auction House Premises,2
152,2020,Sightseeing Guide,67
153,2020,Employment Agency,12
154,2020,Pedicab Business,13
155,2020,Pool or Billiard Room,1
156,2020,Pawnbroker,14
157,2020,Locksmith Apprentice,2
158,2020,Electronic & Appliance Service,86
159,2020,Secondhand Dealer - Auto,18
160,2020,Secondhand Dealer - General,218
161,2020,Amusement Device Temporary,8
162,2020,Home Improvement Contractor,335
163,2019,Dealer In Products,62
164,2019,Tow Truck Driver,269
165,2019,Electronic Cigarette Dealer,96
166,2019,Pedicab Business,21
167,2019,Bingo Game Operator,2
168,2019,Garage and Parking Lot,26
169,2019,Amusement Device Portable,27
170,2019,Ticket Seller,424
171,2019,Special Sale,34
172,2019,Garage,139
173,2019,Employment Agency,33
174,2019,Sightseeing Guide,284
175,2019,Auction House Premises,2
176,2019,Horse Drawn Driver,6
177,2019,General Vendor Distributor,1
178,2019,Parking Lot,22
179,2019,Tow Truck Company,22
180,2019,Booting Company,1
181,2019,Scrap Metal Processor,2
182,2019,Process Serving Agency,10
183,2019,Sightseeing Bus,1
184,2019,Secondhand Dealer - Auto,24
185,2019,Storage Warehouse,8
186,2019,Tobacco Retail Dealer,249
187,2019,Amusement Device Permanent,43
188,2019,Stoop Line Stand,224
189,2019,Amusement Arcade,2
190,2019,Laundries,272
191,2019,Sidewalk Cafe,136
192,2019,Newsstand,29
193,2019,Process Server Individual,52
194,2019,Amusement Device Temporary,53
195,2019,General Vendor,175
196,2019,Gaming Cafe,2
197,2019,Secondhand Dealer - General,346
198,2019,Auctioneer,16
199,2019,Pawnbroker,14
200,2019,Home Improvement Contractor,780
201,2019,Pedicab Driver,270
202,2019,Locksmith Apprentice,1
203,2019,Car Wash,24
204,2019,Electronics Store,399
205,2019,Games of Chance,5
206,2019,Home Improvement Salesperson,791
207,2019,Electronic & Appliance Service,187
208,2019,Locksmith,81
209,2019,Ticket Seller Business,3
210,2019,Debt Collection Agency,11
211,2019,Horse Drawn Cab Owner,8
212,2019,Pool or Billiard Room,3
213,2018,Debt Collection Agency,12
214,2018,Electronic Cigarette Dealer,2305
215,2018,General Vendor,180
216,2018,Stoop Line Stand,236
217,2018,Secondhand Dealer - Auto,30
218,2018,Locksmith,94
219,2018,Tow Truck Driver,193
220,2018,Horse Drawn Driver,12
221,2018,Home Improvement Salesperson,798
222,2018,Pedicab Driver,194
223,2018,Newsstand,22
224,2018,Garage and Parking Lot,15
225,2018,Sidewalk Cafe,156
226,2018,Pawnbroker,29
227,2018,Locksmith Apprentice,4
228,2018,Home Improvement Contractor,730
229,2018,Auction House Premises,5
230,2018,Process Server Individual,162
231,2018,Sightseeing Guide,245
232,2018,Tobacco Retail Dealer,915
233,2018,Ticket Seller Business,3
234,2018,Special Sale,34
235,2018,Secondhand Dealer - General,351
236,2018,Employment Agency,37
237,2018,Scrap Metal Processor,5
238,2018,Process Serving Agency,2
239,2018,Auctioneer,15
240,2018,Pedicab Business,20
241,2018,Sightseeing Bus,4
242,2018,Catering Establishment,1
243,2018,Storage Warehouse,5
244,2018,Bingo Game Operator,1
245,2018,Car Wash,91
246,2018,Garage,96
247,2018,Amusement Device Temporary,54
248,2018,Amusement Arcade,1
249,2018,Amusement Device Permanent,8
250,2018,Scale Dealer Repairer,1
251,2018,Tow Truck Company,16
252,2018,Ticket Seller,443
253,2018,Electronic & Appliance Service,238
254,2018,Dealer In Products,42
255,2018,Games of Chance,14
256,2018,Horse Drawn Cab Owner,6
257,2018,Amusement Device Portable,99
258,2018,Electronics Store,368
259,2018,Parking Lot,21
260,2018,Pool or Billiard Room,3
261,2018,Gaming Cafe,3
262,2018,Laundries,796
263,2017,Ticket Seller,695
264,2017,Home Improvement Contractor,873
265,2017,Tobacco Retail Dealer,1051
266,2017,Special Sale,43
267,2017,Tow Truck Company,36
268,2017,Auction House Premises,10
269,2017,Amusement Device Temporary,48
270,2017,Sightseeing Guide,213
271,2017,Garage and Parking Lot,18
272,2017,Sightseeing Bus,1
273,2017,Home Improvement Salesperson,875
274,2017,Secondhand Dealer - Auto,50
275,2017,Games of Chance,11
276,2017,Pool or Billiard Room,2
277,2017,Amusement Device Permanent,3
278,2017,Pawnbroker,22
279,2017,Secondhand Dealer - General,448
280,2017,Process Serving Agency,7
281,2017,Parking Lot,31
282,2017,Ticket Seller Business,1
283,2017,General Vendor,179
284,2017,Dealer In Products,67
285,2017,Sidewalk Cafe,201
286,2017,Pedicab Business,13
287,2017,Stoop Line Stand,250
288,2017,Locksmith Apprentice,6
289,2017,Car Wash,5
290,2017,Tow Truck Driver,264
291,2017,Auctioneer,21
292,2017,Catering Establishment,3
293,2017,Amusement Device Portable,50
294,2017,Horse Drawn Cab Owner,6
295,2017,Scale Dealer Repairer,3
296,2017,Electronic & Appliance Service,245
297,2017,Debt Collection Agency,22
298,2017,Locksmith,95
299,2017,Gaming Cafe,3
300,2017,Employment Agency,31
301,2017,Newsstand,12
302,2017,Horse Drawn Driver,5
303,2017,Cabaret,7
304,2017,Laundry Jobber,1
305,2017,Process Server Individual,64
306,2017,Pedicab Driver,254
307,2017,Laundries,2217
308,2017,Scrap Metal Processor,6
309,2017,Garage,119
310,2017,Laundry,5
311,2017,Storage Warehouse,1
312,2017,Booting Company,1
313,2017,Electronics Store,606
314,2016,Laundry,147
315,2016,Gaming Cafe,6
316,2016,Scale Dealer Repairer,1
317,2016,Scrap Metal Processor,1
318,2016,Home Improvement Contractor,749
319,2016,Horse Drawn Cab Owner,5
320,2016,Tow Truck Company,44
321,2016,Tow Truck Exemption,1
322,2016,Secondhand Dealer - Auto,47
323,2016,Ticket Seller,1071
324,2016,Games of Chance,8
325,2016,Electronic & Appliance Service,277
326,2016,Pedicab Business,46
327,2016,Electronics Store,512
328,2016,Newsstand,5
329,2016,Garage,90
330,2016,Process Serving Agency,3
331,2016,Secondhand Dealer - General,459
332,2016,Amusement Device Permanent,7
333,2016,Sidewalk Cafe,197
334,2016,Laundry Jobber,164
335,2016,Horse Drawn Driver,10
336,2016,Amusement Device Temporary,57
337,2016,Cabaret,8
338,2016,Employment Agency,52
339,2016,Stoop Line Stand,273
340,2016,Amusement Device Portable,39
341,2016,Locksmith,86
342,2016,Debt Collection Agency,32
343,2016,Pawnbroker,32
344,2016,Auction House Premises,5
345,2016,Tobacco Retail Dealer,1051
346,2016,Tow Truck Driver,222
347,2016,Auctioneer,33
348,2016,Booting Company,1
349,2016,Home Improvement Salesperson,763
350,2016,Dealer In Products,45
351,2016,Process Server Individual,99
352,2016,Sightseeing Guide,247
353,2016,Pedicab Driver,257
354,2016,Parking Lot,15
355,2016,Garage and Parking Lot,13
356,2016,Pool or Billiard Room,6
357,2016,Amusement Arcade,2
358,2016,General Vendor,221
359,2016,Special Sale,38
360,2016,Motion Picture Projectionist,4
361,2016,Locksmith Apprentice,1
362,2015,Pedicab Business,56
363,2015,Amusement Device Permanent,18
364,2015,Gaming Cafe,1
365,2015,Bingo Game Operator,1
366,2015,Sightseeing Guide,217
367,2015,Auctioneer,10
368,2015,Process Server Individual,54
369,2015,Storage Warehouse,4
370,2015,Special Sale,40
371,2015,Electronics Store,788
372,2015,Employment Agency,27
373,2015,Tow Truck Company,53
374,2015,Horse Drawn Driver,8
375,2015,Home Improvement Contractor,918
376,2015,Secondhand Dealer - Auto,60
377,2015,Catering Establishment,3
378,2015,Tobacco Retail Dealer,1238
379,2015,Garage,126
380,2015,Garage and Parking Lot,40
381,2015,General Vendor,304
382,2015,Amusement Device Portable,100
383,2015,Electronic & Appliance Service,312
384,2015,Stoop Line Stand,277
385,2015,Sidewalk Cafe,197
386,2015,Home Improvement Salesperson,955
387,2015,Horse Drawn Cab Owner,5
388,2015,Pawnbroker,27
389,2015,Dealer In Products,47
390,2015,Locksmith,97
391,2015,Auction House Premises,7
392,2015,Sightseeing Bus,1
393,2015,Amusement Arcade,3
394,2015,Tow Truck Driver,324
395,2015,Secondhand Dealer - Firearms,2
396,2015,Laundry Jobber,143
397,2015,Pool or Billiard Room,4
398,2015,Amusement Device Temporary,51
399,2015,Motion Picture Projectionist,12
400,2015,Process Serving Agency,4
401,2015,Parking Lot,39
402,2015,Scrap Metal Processor,8
403,2015,Locksmith Apprentice,3
404,2015,Games of Chance,15
405,2015,Newsstand,11
406,2015,Debt Collection Agency,12
407,2015,Pedicab Driver,220
408,2015,Secondhand Dealer - General,548
409,2015,Laundry,173
410,2015,Cabaret,13
411,2014,Stoop Line Stand,306
412,2014,Debt Collection Agency,14
413,2014,Catering Establishment,8
414,2014,Amusement Arcade,2
415,2014,Home Improvement Salesperson,884
416,2014,Amusement Device Permanent,8
417,2014,Electronic & Appliance Service,319
418,2014,Secondhand Dealer - Firearms,2
419,2014,Cabaret,18
420,2014,Tobacco Retail Dealer,1199
421,2014,Amusement Device Portable,37
422,2014,Tow Truck Company,47
423,2014,Pedicab Business,31
424,2014,Scale Dealer Repairer,1
425,2014,Bingo Game Operator,6
426,2014,Home Improvement Contractor,904
427,2014,Garage and Parking Lot,21
428,2014,Secondhand Dealer - Auto,69
429,2014,Auctioneer,19
430,2014,Games of Chance,27
431,2014,Process Server Individual,88
432,2014,Electronics Store,501
433,2014,Locksmith Apprentice,4
434,2014,Tow Truck Driver,231
435,2014,Horse Drawn Driver,7
436,2014,Gaming Cafe,3
437,2014,Secondhand Dealer - General,640
438,2014,Sightseeing Bus,4
439,2014,Garage,82
440,2014,General Vendor,321
441,2014,Amusement Device Temporary,37
442,2014,Process Serving Agency,2
443,2014,Pawnbroker,46
444,2014,Laundry,166
445,2014,Employment Agency,50
446,2014,Laundry Jobber,186
447,2014,Pedicab Driver,260
448,2014,Locksmith,91
449,2014,Special Sale,49
450,2014,Auction House Premises,7
451,2014,Sightseeing Guide,266
452,2014,Dealer In Products,54
453,2014,Newsstand,11
454,2014,Pool or Billiard Room,4
455,2014,Horse Drawn Cab Owner,5
456,2014,Sidewalk Cafe,183
457,2014,Motion Picture Projectionist,4
458,2014,Tow Truck Exemption,1
459,2014,Parking Lot,29
460,2014,Scrap Metal Processor,5
461,2014,Storage Warehouse,2
462,2014,General Vendor Distributor,1
463,2013,Bingo Game Operator,36
464,2013,Employment Agency,29
465,2013,Amusement Device Temporary,44
466,2013,Storage Warehouse,4
467,2013,Electronics Store,581
468,2013,Process Serving Agency,12
469,2013,Auction House Premises,7
470,2013,Home Improvement Salesperson,1050
471,2013,Sightseeing Bus,11
472,2013,Laundry Jobber,149
473,2013,Secondhand Dealer - Firearms,3
474,2013,Scrap Metal Processor,6
475,2013,Booting Company,1
476,2013,Amusement Device Portable,70
477,2013,General Vendor,410
478,2013,Pedicab Driver,316
479,2013,Amusement Device Permanent,21
480,2013,Home Improvement Contractor,1153
481,2013,Garage,219
482,2013,Games of Chance,19
483,2013,General Vendor Distributor,1
484,2013,Newsstand,27
485,2013,Locksmith,88
486,2013,Tobacco Retail Dealer,1168
487,2013,Parking Lot,58
488,2013,Electronic & Appliance Service,264
489,2013,Cabaret,15
490,2013,Sidewalk Cafe,160
491,2013,Tow Truck Exemption,4
492,2013,Motion Picture Projectionist,23
493,2013,Process Server Individual,88
494,2013,Dealer In Products,78
495,2013,Special Sale,63
496,2013,Auctioneer,20
497,2013,Horse Drawn Cab Owner,4
498,2013,Catering Establishment,4
499,2013,Debt Collection Agency,23
500,2013,Stoop Line Stand,312
501,2013,Secondhand Dealer - General,823
502,2013,Gaming Cafe,6
503,2013,Scale Dealer Repairer,2
504,2013,Laundry,188
505,2013,Garage and Parking Lot,15
506,2013,Locksmith Apprentice,3
507,2013,Pool or Billiard Room,5
508,2013,Amusement Arcade,3
509,2013,Tow Truck Company,87
510,2013,Pedicab Business,48
511,2013,Pawnbroker,74
512,2013,Secondhand Dealer - Auto,66
513,2013,Sightseeing Guide,222
514,2013,Horse Drawn Driver,3
515,2013,Tow Truck Driver,318
516,2012,Games of Chance,40
517,2012,Electronics Store,507
518,2012,Auctioneer,24
519,2012,Amusement Device Temporary,49
520,2012,Sidewalk Cafe,165
521,2012,Cabaret,48
522,2012,Secondhand Dealer - Firearms,1
523,2012,Stoop Line Stand,377
524,2012,Garage,58
525,2012,Scrap Metal Processor,9
526,2012,Catering Establishment,20
527,2012,Employment Agency,40
528,2012,Amusement Device Permanent,32
529,2012,Tow Truck Company,240
530,2012,Laundry,224
531,2012,Home Improvement Salesperson,975
532,2012,Pedicab Driver,498
533,2012,Amusement Arcade,7
534,2012,Horse Drawn Driver,9
535,2012,Locksmith Apprentice,5
536,2012,Home Improvement Contractor,895
537,2012,Bingo Game Operator,28
538,2012,Garage and Parking Lot,8
539,2012,General Vendor Distributor,2
540,2012,Tobacco Retail Dealer,1446
541,2012,Laundry Jobber,233
542,2012,Scale Dealer Repairer,4
543,2012,Debt Collection Agency,19
544,2012,Tow Truck Driver,262
545,2012,Secondhand Dealer - Auto,67
546,2012,Auction House Premises,7
547,2012,Storage Warehouse,5
548,2012,General Vendor,426
549,2012,Process Serving Agency,16
550,2012,Locksmith,93
551,2012,Motion Picture Projectionist,18
552,2012,Pool or Billiard Room,7
553,2012,Special Sale,40
554,2012,Commercial Lessor,1
555,2012,Sightseeing Guide,245
556,2012,Sightseeing Bus,5
557,2012,Electronic & Appliance Service,268
558,2012,Parking Lot,47
559,2012,Pawnbroker,112
560,2012,Newsstand,22
561,2012,Secondhand Dealer - General,810
562,2012,Dealer In Products,63
563,2012,Process Server Individual,181
564,2012,Gaming Cafe,27
565,2012,Horse Drawn Cab Owner,2
566,2012,Pedicab Business,146
567,2012,Amusement Device Portable,72
568,2012,Tow Truck Exemption,4
569,2011,Auction House Premises,6
570,2011,Motion Picture Projectionist,23
571,2011,Games of Chance,7
572,2011,Locksmith Apprentice,1
573,2011,Auctioneer,24
574,2011,Parking Lot,61
575,2011,Sidewalk Cafe,160
576,2011,Horse Drawn Driver,4
577,2011,Dealer In Products,104
578,2011,Home Improvement Contractor,1056
579,2011,Gaming Cafe,10
580,2011,Scrap Metal Processor,9
581,2011,Home Improvement Salesperson,1028
582,2011,Electronics Store,615
583,2011,Pedicab Driver,567
584,2011,General Vendor Distributor,3
585,2011,Scale Dealer Repairer,1
586,2011,Debt Collection Agency,36
587,2011,Process Serving Agency,8
588,2011,Amusement Device Temporary,59
589,2011,Bingo Game Operator,5
590,2011,Secondhand Dealer - Firearms,2
591,2011,Sightseeing Guide,189
592,2011,Garage,146
593,2011,Tow Truck Driver,304
594,2011,Tobacco Retail Dealer,1331
595,2011,Storage Warehouse,11
596,2011,Process Server Individual,43
597,2011,Locksmith,107
598,2011,Tow Truck Company,24
599,2011,Pool or Billiard Room,5
600,2011,Amusement Arcade,3
601,2011,Laundry Jobber,168
602,2011,Catering Establishment,1
603,2011,Employment Agency,43
604,2011,Amusement Device Permanent,12
605,2011,Garage and Parking Lot,6
606,2011,Newsstand,14
607,2011,Stoop Line Stand,329
608,2011,General Vendor,293
609,2011,Pedicab Business,30
610,2011,Cabaret,8
611,2011,Pawnbroker,102
612,2011,Tow Truck Exemption,4
613,2011,Amusement Device Portable,59
614,2011,Booting Company,1
615,2011,Secondhand Dealer - General,1007
616,2011,Horse Drawn Cab Owner,2
617,2011,Secondhand Dealer - Auto,62
618,2011,Laundry,186
619,2011,Special Sale,53
620,2011,Sightseeing Bus,2
621,2011,Electronic & Appliance Service,239
622,2010,Electronics Store,485
623,2010,Newsstand,47
624,2010,Tow Truck Driver,290
625,2010,Garage,94
626,2010,Process Serving Agency,14
627,2010,Dealer In Products,107
628,2010,Cabaret,31
629,2010,Locksmith Apprentice,5
630,2010,Amusement Device Portable,72
631,2010,Games of Chance,8
632,2010,Home Improvement Contractor,775
633,2010,Garage and Parking Lot,2
634,2010,Booting Company,1
635,2010,Sidewalk Cafe,180
636,2010,Special Sale,57
637,2010,Pedicab Business,12
638,2010,Scale Dealer Repairer,4
639,2010,Auctioneer,13
640,2010,Sightseeing Bus,3
641,2010,Home Improvement Salesperson,765
642,2010,Parking Lot,52
643,2010,Process Server Individual,192
644,2010,Pool or Billiard Room,3
645,2010,Horse Drawn Cab Owner,14
646,2010,Scrap Metal Processor,5
647,2010,Catering Establishment,13
648,2010,Stoop Line Stand,376
649,2010,Horse Drawn Driver,4
650,2010,Tobacco Retail Dealer,1366
651,2010,Amusement Device Temporary,47
652,2010,Bingo Game Operator,2
653,2010,Gaming Cafe,8
654,2010,Storage Warehouse,1
655,2010,Sightseeing Guide,183
656,2010,General Vendor,351
657,2010,Motion Picture Projectionist,103
658,2010,Laundry,239
659,2010,Auction House Premises,4
660,2010,Secondhand Dealer - Firearms,1
661,2010,Pawnbroker,80
662,2010,Electronic & Appliance Service,211
663,2010,Amusement Device Permanent,26
664,2010,Laundry Jobber,209
665,2010,Tow Truck Exemption,8
666,2010,Debt Collection Agency,41
667,2010,Employment Agency,56
668,2010,General Vendor Distributor,1
669,2010,Tow Truck Company,60
670,2010,Pedicab Driver,778
671,2010,Secondhand Dealer - Auto,68
672,2010,Locksmith,90
673,2010,Amusement Arcade,4
674,2010,Secondhand Dealer - General,786
675,2009,Tow Truck Company,18
676,2009,Stoop Line Stand,345
677,2009,Pedicab Driver,233
678,2009,Laundry Jobber,162
679,2009,Home Improvement Salesperson,883
680,2009,Cabaret,12
681,2009,Auction House Premises,3
682,2009,Pawnbroker,50
683,2009,Sidewalk Cafe,131
684,2009,Tow Truck Driver,291
685,2009,Gaming Cafe,5
686,2009,General Vendor Distributor,1
687,2009,Tow Truck Exemption,2
688,2009,Locksmith,76
689,2009,Dealer In Products,278
690,2009,Scrap Metal Processor,6
691,2009,Process Serving Agency,18
692,2009,General Vendor,309
693,2009,Sightseeing Guide,225
694,2009,Electronic & Appliance Service,157
695,2009,Booting Company,1
696,2009,Amusement Device Temporary,63
697,2009,Process Server Individual,238
698,2009,Employment Agency,29
699,2009,Scale Dealer Repairer,2
700,2009,Electronics Store,655
701,2009,Garage and Parking Lot,6
702,2009,Parking Lot,61
703,2009,Pedicab Business,29
704,2009,Amusement Arcade,1
705,2009,Sightseeing Bus,2
706,2009,Tobacco Retail Dealer,1393
707,2009,Amusement Device Permanent,4
708,2009,Pool or Billiard Room,6
709,2009,Newsstand,28
710,2009,Motion Picture Projectionist,33
711,2009,Secondhand Dealer - General,670
712,2009,Games of Chance,11
713,2009,Auctioneer,10
714,2009,Garage,174
715,2009,Secondhand Dealer - Auto,81
716,2009,Special Sale,66
717,2009,Locksmith Apprentice,1
718,2009,Laundry,215
719,2009,Catering Establishment,4
720,2009,Debt Collection Agency,85
721,2009,Home Improvement Contractor,1074
722,2009,Bingo Game Operator,6
723,2009,Amusement Device Portable,7
724,2009,Storage Warehouse,4
725,2009,Horse Drawn Cab Owner,8
726,2009,Horse Drawn Driver,8
727,2008,Secondhand Dealer - Auto,68
728,2008,Process Serving Agency,10
729,2008,Horse Drawn Cab Owner,12
730,2008,Electronics Store,423
731,2008,General Vendor,478
732,2008,Storage Warehouse,2
733,2008,Parking Lot,60
734,2008,Catering Establishment,3
735,2008,Commercial Lessor,1
736,2008,Garage,81
737,2008,Process Server Individual,188
738,2008,Home Improvement Salesperson,1007
739,2008,Amusement Device Permanent,43
740,2008,Pool or Billiard Room,2
741,2008,Horse Drawn Driver,3
742,2008,Amusement Arcade,1
743,2008,Auction House Premises,3
744,2008,Motion Picture Projectionist,58
745,2008,Debt Collection Agency,23
746,2008,Scrap Metal Processor,12
747,2008,Sightseeing Bus,3
748,2008,Newsstand,22
749,2008,Sightseeing Guide,207
750,2008,Laundry Jobber,190
751,2008,Secondhand Dealer - General,519
752,2008,Tow Truck Driver,259
753,2008,Tow Truck Company,107
754,2008,Gaming Cafe,4
755,2008,Scale Dealer Repairer,2
756,2008,Laundry,271
757,2008,General Vendor Distributor,1
758,2008,Tobacco Retail Dealer,1434
759,2008,Dealer In Products,61
760,2008,Bingo Game Operator,15
761,2008,Amusement Device Portable,37
762,2008,Cabaret,13
763,2008,Auctioneer,6
764,2008,Employment Agency,28
765,2008,Home Improvement Contractor,1045
766,2008,Locksmith,78
767,2008,Pawnbroker,31
768,2008,Games of Chance,6
769,2008,Tow Truck Exemption,15
770,2008,Garage and Parking Lot,3
771,2008,Special Sale,70
772,2008,Amusement Device Temporary,53
773,2008,Stoop Line Stand,284
774,2008,Sidewalk Cafe,159
775,2008,Electronic & Appliance Service,178
776,2007,Tow Truck Driver,312
777,2007,Locksmith,78
778,2007,Electronics Store,484
779,2007,Dealer In Products,55
780,2007,Auction House Premises,5
781,2007,Laundry Jobber,170
782,2007,Amusement Device Portable,74
783,2007,Employment Agency,38
784,2007,Process Serving Agency,16
785,2007,Laundry,244
786,2007,Garage,104
787,2007,Locksmith Apprentice,5
788,2007,Storage Warehouse,5
789,2007,Commercial Lessor,1
790,2007,Electronic & Appliance Service,182
791,2007,Amusement Arcade,2
792,2007,Secondhand Dealer - Auto,85
793,2007,Newsstand,12
794,2007,General Vendor,474
795,2007,Pawnbroker,30
796,2007,Sidewalk Cafe,245
797,2007,Home Improvement Contractor,1350
798,2007,Parking Lot,64
799,2007,Stoop Line Stand,221
800,2007,Horse Drawn Driver,15
801,2007,Secondhand Dealer - General,545
802,2007,Tow Truck Company,15
803,2007,Motion Picture Projectionist,17
804,2007,Garage and Parking Lot,8
805,2007,Pedicab Business,2
806,2007,Pool or Billiard Room,7
807,2007,Sightseeing Guide,124
808,2007,Tobacco Retail Dealer,1432
809,2007,Sightseeing Bus,2
810,2007,Catering Establishment,2
811,2007,General Vendor Distributor,1
812,2007,Scale Dealer Repairer,1
813,2007,Bingo Game Operator,11
814,2007,Special Sale,67
815,2007,Gaming Cafe,6
816,2007,Debt Collection Agency,20
817,2007,Amusement Device Permanent,34
818,2007,Games of Chance,9
819,2007,Auctioneer,15
820,2007,Scrap Metal Processor,8
821,2007,Booting Company,1
822,2007,Pedicab Driver,120
823,2007,Home Improvement Salesperson,1163
824,2007,Cabaret,14
825,2007,Amusement Device Temporary,51
826,2007,Process Server Individual,207
827,2007,Tow Truck Exemption,4
828,2007,Horse Drawn Cab Owner,1
829,2006,Tobacco Retail Dealer,1661
830,2006,Games of Chance,9
831,2006,Amusement Device Temporary,51
832,2006,Scale Dealer Repairer,2
833,2006,Secondhand Dealer - Auto,85
834,2006,Garage and Parking Lot,10
835,2006,Scrap Metal Processor,5
836,2006,Cabaret,70
837,2006,Amusement Arcade,10
838,2006,Laundry Jobber,313
839,2006,Horse Drawn Cab Owner,4
840,2006,Employment Agency,93
841,2006,Sightseeing Bus,1
842,2006,Home Improvement Contractor,951
843,2006,Home Improvement Salesperson,835
844,2006,Tow Truck Exemption,26
845,2006,Debt Collection Agency,17
846,2006,Catering Establishment,25
847,2006,Storage Warehouse,1
848,2006,Electronic & Appliance Service,231
849,2006,Dealer In Products,51
850,2006,Amusement Device Permanent,11
851,2006,Motion Picture Projectionist,13
852,2006,Stoop Line Stand,356
